Date,aapl,cisco,ibm,amzn
2012-01-03,53.06321780014101,15.752778176556001,160.83088120303998,179.03
2012-01-04,53.348385981787004,16.057179687214,160.17478098986,177.51
2012-01-05,53.940658359052,15.997990504586001,159.41508600619,177.61
2012-01-06,54.504542953529,15.938801321958001,157.58491172734,182.61
2012-01-09,54.41808925140099,16.040268492177,156.76478646087,178.56
2012-01-10,54.61293266963001,15.921890126921001,156.5230653297,179.34
2012-01-11,54.523898259975006,16.12482446736,157.39498798142,178.9
2012-01-12,54.374217223455,16.192469247506,155.86696511652,175.93
2012-01-13,54.170341328885,16.116368869842,154.66699235822,178.42
2012-01-17,54.801324319043,16.32353100904,155.39215575173,181.66
2012-01-18,55.370370328571994,16.522237550718998,156.3158757887,189.44
2012-01-19,55.19488221679,16.733627488676,155.8410664239,194.45
2012-01-20,54.233568663277,16.843550256414,162.74738445731,190.93
2012-01-23,55.150881153468,16.767449878749,164.00778749841,186.09
2012-01-24,54.247762554671,16.754766482472,165.69120251905,187.0
2012-01-25,57.63494118281999,16.767449878749,165.51854456822,187.8
2012-01-26,57.37299936891,16.767449878749,164.87107725258002,193.31599999999997
2012-01-27,57.71494311613201,16.539148745756,164.42216658041,195.37
2012-01-30,58.454315822391,16.539148745756,166.18327767892998,192.15
2012-01-31,58.902068578189,16.611021324661,166.26960665434999,194.44
2012-02-01,58.864648319058,16.742083086195,166.28687244943,179.46
2012-02-02,58.726580466406,16.742083086195,165.34588661738002,181.72
2012-02-03,59.314981782382,16.987295414225,167.16742799869,187.68
2012-02-06,59.868543546754,17.071851389407,166.45953040027,183.14
2012-02-07,60.495655475621994,17.080306986926,166.91707396998,184.19
2012-02-08,61.508583179659006,17.274785729846002,167.21922538394,185.48
2012-02-09,63.636376535017995,16.911195036560002,167.3752215517,184.98
2012-02-10,63.668635379096,16.822411262618,166.75990333443002,185.54
2012-02-13,64.853180133626,16.936561829115,166.93323240972,191.59
2012-02-14,65.73836281511501,16.970384219188002,166.58657425914,191.3
2012-02-15,64.217035728415,16.835094658896,166.61257362043997,184.47
2012-02-16,64.80285633686499,17.071851389407,167.27989056029,179.93
2012-02-17,64.791243152997,17.15640736459,167.62654871087,182.5
2012-02-21,66.433863493429,17.215596547218002,167.60054934958,182.26
2012-02-22,66.20030946230699,17.012662206779,168.01653913027,180.58
2012-02-23,66.63257797294699,17.105673779481002,171.25779283815,178.89
2012-02-24,67.409370938336,17.029573401816002,171.38778964462,179.13
2012-02-27,67.841639448976,17.054940194371,171.18846120803002,178.53
2012-02-28,69.086830830371,17.080306986926,171.57845162743,183.8
2012-02-29,69.993949525834,16.809727866341,170.49514490688,179.69
2012-03-01,70.255891339744,16.809727866341,171.18846120803002,180.04
2012-03-02,70.347506456924,16.708260696121,172.29776728988,179.3
2012-03-05,68.796501233673,16.572971135829,173.90106123629,180.26
2012-03-06,68.422298642373,16.47150396561,170.95446695639998,181.09
2012-03-07,68.477783854186,16.412314782981998,171.39645609838,183.77
2012-03-08,69.935883606494,16.640615915975,173.16441266632,187.64
2012-03-09,70.346216103161,16.742083086195,173.86639542123,184.32
2012-03-12,71.22752772336099,16.767449878749,174.19572066428,183.39
2012-03-13,73.30499728196,17.097218181962,176.60499481078,184.59
2012-03-14,76.07667716510801,17.076079188167,177.41964146463002,182.26
2012-03-15,75.55795495234,16.835094658896,178.52894754647,184.43
2012-03-16,75.559245306103,16.936561829115,178.53761400023998,185.05
2012-03-19,77.563164700204,17.029573401816002,178.28628684107,185.52
2012-03-20,78.190276629073,17.393164095102,177.01231813771,192.33
2012-03-21,77.74381422703901,17.333974912474,177.39364210334,191.73
2012-03-22,77.336062437898,17.232507742255002,178.08695840448996,192.4
2012-03-23,76.911536049836,17.359341705029,178.07829195073,195.04
2012-03-26,78.321892712909,17.621465228096,180.06290986277,202.87
2012-03-27,79.289658035238,17.680654410724,179.55158909067,205.44
2012-03-28,79.69482911685199,17.824399568533995,179.64692008208004,201.16
2012-03-29,78.693514596683,17.782121580943,180.49623255099,204.61
2012-03-30,77.363159866923,17.883588751161994,180.82555779403998,202.51
2012-04-02,79.825154846926,17.917411141235,181.53620700272,198.05
2012-04-03,81.204543019685,17.672198813205,181.56220636401002,199.66
2012-04-04,80.558075784369,17.281746774105,178.5722798153,193.99
2012-04-05,81.767137260398,17.162913544813,178.06962549696,194.39
2012-04-09,82.09617746999001,16.942223261843,177.61030344744995,191.87
2012-04-10,81.090991888531,16.594211661775,175.34835901494,186.98
2012-04-11,80.801952645596,16.988907744779,175.56502035904998,187.97
2012-04-12,80.35936130485099,17.027104139909,177.9396286905,190.69
2012-04-13,78.096080804366,16.848854295971,175.75568234187,188.46
2012-04-16,74.857292858974,16.742753198389998,175.68635071174995,185.5
2012-04-17,78.672868936474,17.044080315522002,179.78558334231002,188.39
2012-04-18,78.497380824692,17.027104139909,173.44173918678,191.07
2012-04-19,75.800541459803,16.895538778907,172.90441905338002,191.1
2012-04-20,73.934689918354,16.899782822811,172.98241713726003,189.98
2012-04-23,73.769524636677,16.70455680326,172.13310466835,188.24
2012-04-24,72.29594063921199,16.48386652029,173.32907528784,190.33
2012-04-25,78.711579549367,16.543283134935994,176.42299928173,194.42
2012-04-26,78.414798183853,16.636652100808,178.16495648836997,195.99
2012-04-27,77.808331915194,16.959199437456,179.23093030139,226.85
